
                           START @2022-12-03 17:57:15.034826
----------------------------------------------------------------------------------------
args.config_file='config_files/modify_inc/correspond_ordered.ini'
----------------------------------------------------------------------------------------
---------------------------------------- CONFIG -----------------------------------------
----------------------------------------------------------------------------------------
seed=0
device=device(type='cuda', index=0)
torch.backends.cudnn.enabled=False
Starting modification: initial=0, start=None, end=1000, @2022-12-03 17:57:17.071772
0 / 1000 = 0% @2022-12-03 17:57:17.071797
1 / 1000 = 0% @2022-12-03 17:57:17.394844
2 / 1000 = 0% @2022-12-03 17:57:17.410472
3 / 1000 = 0% @2022-12-03 17:57:17.425169
4 / 1000 = 0% @2022-12-03 17:57:17.449447
5 / 1000 = 0% @2022-12-03 17:57:17.678072
6 / 1000 = 0% @2022-12-03 17:57:17.701579
7 / 1000 = 0% @2022-12-03 17:57:17.722829
8 / 1000 = 0% @2022-12-03 17:57:17.750749
9 / 1000 = 0% @2022-12-03 17:57:17.778328
10 / 1000 = 1% @2022-12-03 17:57:18.397295
11 / 1000 = 1% @2022-12-03 17:57:18.578587
12 / 1000 = 1% @2022-12-03 17:57:18.637209
13 / 1000 = 1% @2022-12-03 17:57:19.121215
14 / 1000 = 1% @2022-12-03 17:57:19.855673
15 / 1000 = 1% @2022-12-03 17:57:19.896259
16 / 1000 = 1% @2022-12-03 17:57:19.927412
17 / 1000 = 1% @2022-12-03 17:57:20.594805
18 / 1000 = 1% @2022-12-03 17:57:20.616420
19 / 1000 = 1% @2022-12-03 17:57:20.635189
20 / 1000 = 2% @2022-12-03 17:57:20.820231
21 / 1000 = 2% @2022-12-03 17:57:20.849121
22 / 1000 = 2% @2022-12-03 17:57:21.032506
23 / 1000 = 2% @2022-12-03 17:57:21.059651
24 / 1000 = 2% @2022-12-03 17:57:21.090301
25 / 1000 = 2% @2022-12-03 17:57:21.120882
26 / 1000 = 2% @2022-12-03 17:57:21.305760
27 / 1000 = 2% @2022-12-03 17:57:21.344901
28 / 1000 = 2% @2022-12-03 17:57:21.534517
29 / 1000 = 2% @2022-12-03 17:57:22.177610
30 / 1000 = 3% @2022-12-03 17:57:22.207801
31 / 1000 = 3% @2022-12-03 17:57:22.241386
32 / 1000 = 3% @2022-12-03 17:57:22.269285
33 / 1000 = 3% @2022-12-03 17:57:22.480136
34 / 1000 = 3% @2022-12-03 17:57:22.550326
35 / 1000 = 3% @2022-12-03 17:57:22.573107
36 / 1000 = 3% @2022-12-03 17:57:23.188271
37 / 1000 = 3% @2022-12-03 17:57:23.286695
38 / 1000 = 3% @2022-12-03 17:57:24.057693
39 / 1000 = 3% @2022-12-03 17:57:24.677839
40 / 1000 = 4% @2022-12-03 17:57:24.706132
41 / 1000 = 4% @2022-12-03 17:57:24.894215
42 / 1000 = 4% @2022-12-03 17:57:25.577923
43 / 1000 = 4% @2022-12-03 17:57:25.607968
44 / 1000 = 4% @2022-12-03 17:57:25.664141
45 / 1000 = 4% @2022-12-03 17:57:25.720799
46 / 1000 = 4% @2022-12-03 17:57:25.739941
47 / 1000 = 4% @2022-12-03 17:57:25.927296
48 / 1000 = 4% @2022-12-03 17:57:25.960845
49 / 1000 = 4% @2022-12-03 17:57:25.992098
50 / 1000 = 5% @2022-12-03 17:57:26.024484
